LR,BATCH,loss,accuracy,train_time_s
0.005,64,0.88,79.48,37
0.005,128,0.98,82.20,33
0.005,256,0.61,86.21,35
0.005,512,0.54,88.13,36
0.01,64,1.15,80.30,32
0.01,128,0.65,82.08,32
0.01,256,0.79,84.78,34
0.01,512,0.59,86.97,36
0.02,64,1.26,78.41,32
0.02,128,0.73,84.43,32
0.02,256,0.75,86.25,33
0.02,512,0.60,87.08,36
0.05,64,0.83,77.55,31
0.05,128,0.78,80.57,32
0.05,256,0.50,85.58,33
0.05,512,0.54,87.05,36
0.1,64,0.73,77.71,31
0.1,128,0.82,82.90,32
0.1,256,0.71,85.84,34
0.1,512,0.58,86.28,36
