LR,LR_DECAY,loss,accuracy,train_time_s
0.005,0.90,0.54,89.67,204
0.005,0.92,0.51,86.40,204
0.005,0.95,0.54,89.92,202
0.005,0.98,0.53,89.34,196
0.005,1,0.53,87.25,180
0.01,0.90,0.22,92.79,205
0.01,0.92,0.23,91.02,204
0.01,0.95,0.22,90.08,188
0.01,0.98,0.27,84.05,195
0.01,1,0.26,90.17,194
