LR,PATIENCE,loss,accuracy,train_time_s
0.005,5,0.11,98.07,323
0.005,10,0.10,98.07,336
0.005,20,0.08,98.03,288
0.005,50,0.10,96.98,264
0.01,5,0.11,98.01,295
0.01,10,0.12,98.01,272
0.01,20,0.08,98.07,284
0.01,50,0.10,95.74,274
0.02,5,0.14,96.99,273
0.02,10,0.15,96.99,268
0.02,20,0.09,97.72,264
0.02,50,0.13,98.11,267
0.05,5,0.15,98.11,277
0.05,10,0.12,98.11,281
0.05,20,0.10,97.56,284
0.05,50,0.09,97.69,300
0.1,5,0.13,97.80,309
0.1,10,0.19,97.80,302
0.1,20,0.11,97.32,273
0.1,50,0.12,97.45,273
