LR,ANGLE,loss,accuracy,train_time_s
0.005,0,0.27,91.99,38
0.005,5,0.38,92.26,37
0.005,10,0.51,90.03,37
0.005,20,0.63,85.41,37
0.005,40,0.92,81.15,37
0.01,0,0.37,92.20,37
0.01,5,0.40,92.23,37
0.01,10,0.46,89.65,37
0.01,20,0.64,84.24,37
0.01,40,0.81,80.70,37
0.02,0,0.29,91.71,37
0.02,5,0.37,91.45,37
0.02,10,0.53,89.91,37
0.02,20,0.67,85.69,37
0.02,40,0.88,79.98,37
0.05,0,0.32,91.90,39
0.05,5,0.42,92.22,47
0.05,10,0.49,89.51,50
0.05,20,0.66,84.36,52
0.05,40,0.85,80.12,54
